os,cpu,gpu,ram,kernel,driver
Manjaro Linux,AMD Ryzen 3 3200U with Radeon Vega Mobile Gfx,AMD/ATI,6083348,5.12.2-1-MANJARO,4.6 Mesa 21.0.3
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,ram_used,elapsed
59.9821,16773,27.7778,0,51,51,400,0,0.335888,2.17588,319880
59.9992,16469,27.7778,0,51,51,400,0,0.335888,2.17588,100380399
59.9991,16595,27.7778,0,51,51,400,0,0.335888,2.17588,200444256
60.2718,16399,27.1845,0,51,51,400,0,0.335888,2.17047,300504565
60.0614,16669,27.1845,0,51,51,400,0,0.335888,2.17047,400564203
60.0196,16514,27.1845,0,51,51,400,0,0.335888,2.17047,500625163
60.0101,16458,27.1845,0,51,51,400,0,0.335888,2.17047,600686304
59.988,16643,27.1845,0,51,51,400,0,0.335888,2.17047,700744309
59.6659,16795,28.866,0,52,52,400,0,0.335888,2.17057,800801793
59.9493,16591,28.866,0,52,52,400,0,0.335888,2.17057,900863235
59.9315,16716,28.866,0,52,52,400,0,0.335888,2.17057,1000922111
59.9493,16803,28.866,0,52,52,400,0,0.335888,2.17057,1100982000
59.9501,16824,28.866,0,52,52,400,0,0.335888,2.17057,1201043331
61.7475,16959,29.7436,0,52,52,400,0,0.335888,2.17057,1301102849
60.3751,16903,29.7436,0,52,52,400,0,0.335888,2.17057,1401164721
60.2563,16662,29.7436,0,52,52,400,0,0.335888,2.17057,1501225611
60.1533,16341,29.7436,0,52,52,400,0,0.335888,2.17057,1601291771
60.102,16549,29.7436,0,52,52,400,0,0.335888,2.17057,1701363412
77.3635,16601,52.4753,0,52,52,400,0,0.361019,2.20184,1801423541
63.5339,16771,52.4753,0,52,52,400,0,0.361019,2.20184,1901486495
61.9911,16702,52.4753,0,52,52,400,0,0.361019,2.20184,2001546344
61.3906,16466,52.4753,0,52,52,400,0,0.361019,2.20184,2101605350
61.0522,16447,52.4753,0,52,52,400,0,0.361019,2.20184,2201663806
60.9385,16410,43.75,0,52,52,400,0,0.344421,2.21754,2301722262
60.0338,16637,43.75,0,52,52,400,0,0.344421,2.21754,2401784184
60.0351,16398,43.75,0,52,52,400,0,0.344421,2.21754,2501842420
59.991,16799,43.75,0,52,52,400,0,0.344421,2.21754,2601901827
59.968,16837,43.75,0,52,52,400,0,0.344421,2.21754,2701962237
58.9067,16976,43.2692,0,53,53,400,0,0.346973,2.21067,2802022065
59.9469,16833,43.2692,0,53,53,400,0,0.346973,2.21067,2902082354
59.9396,16925,43.2692,0,53,53,400,0,0.346973,2.21067,3002145089
59.9865,16723,43.2692,0,53,53,400,0,0.346973,2.21067,3102181533
59.985,16756,43.2692,0,53,53,400,0,0.346973,2.21067,3202213729
60.1323,16630,35.2657,0,52,52,400,0,0.346973,2.19526,3302335264
59.9223,16628,35.2657,0,52,52,400,0,0.346973,2.19526,3402392697
59.9346,16679,35.2657,0,52,52,400,0,0.346973,2.19526,3502450341
59.95,16641,35.2657,0,52,52,400,0,0.346973,2.19526,3602510260
59.9541,16732,35.2657,0,52,52,400,0,0.346973,2.19526,3702571591
59.9736,16674,38.8889,0,52,52,400,0,0.3466,2.19501,3802632752
59.9443,16538,38.8889,0,52,52,400,0,0.3466,2.19501,3902692511
60.024,16211,38.8889,0,52,52,400,0,0.3466,2.19501,4002751207
60.0138,16118,38.8889,0,52,52,400,0,0.3466,2.19501,4102812408
59.9946,16091,38.8889,0,52,52,400,0,0.3466,2.19501,4202871505
59.6801,16756,32.3232,0,52,52,400,0,0.338249,2.19514,4302931253
59.9495,16666,32.3232,0,52,52,400,0,0.338249,2.19514,4403059790
59.9065,17004,32.3232,0,52,52,400,0,0.338249,2.19514,4503119308
59.9001,17083,32.3232,0,52,52,400,0,0.338249,2.19514,4603177724
59.94,16955,32.3232,0,52,52,400,0,0.338249,2.19514,4703238303
58.5001,17094,30.9645,0,52,52,400,0,0.335014,2.17529,4803297260
59.9572,16637,30.9645,0,52,52,400,0,0.335014,2.17529,4903356397
59.9617,16744,30.9645,0,52,52,400,0,0.335014,2.17529,5003416035
59.9727,16680,30.9645,0,52,52,400,0,0.335014,2.17529,5103486744
59.9703,16656,30.9645,0,52,52,400,0,0.335014,2.17529,5203556782
59.9736,16674,31.6583,0,52,52,400,0,0.335014,2.17541,5303664500
60.0019,16671,31.6583,0,52,52,400,0,0.335014,2.17541,5403724348
59.9714,16729,31.6583,0,52,52,400,0,0.335014,2.17541,5503784407
59.9888,16598,31.6583,0,52,52,400,0,0.335014,2.17541,5603842673
59.9666,16668,31.6583,0,52,52,400,0,0.335014,2.17541,5703900597
60.7165,16470,33.6585,0,52,52,400,0,0.335014,2.17253,5803960145
60.0848,16380,33.6585,0,52,52,400,0,0.335014,2.17253,5904018822
59.6324,18060,33.6585,0,52,52,400,0,0.335014,2.17253,6004078970
59.1317,17625,33.6585,0,52,52,400,0,0.335014,2.17253,6104141243
59.307,17828,33.6585,0,52,52,400,0,0.335014,2.17253,6204201683
