Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,GPU0Clk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63]
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.454268,5.894,6.378,0.455,1.708,1.788,0.290,1605,36,59,NA,NA,NA,NA,NA,2.830,9.531,2.830,17,59,59,NA,4035,37, 52,101.801,NA,78,47,57,53,50,23,50,17,53,17,32,23,32,11,38,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.460894,6.626,6.400,0.429,1.456,1.562,0.220,1605,36,59,NA,NA,NA,NA,NA,2.517,8.479,2.517,17,59,59,NA,4035,37, 52,101.801,NA,78,47,57,53,50,23,50,17,53,17,32,23,32,11,38,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.466679,5.785,6.275,0.467,1.937,2.051,0.335,1605,36,59,NA,NA,NA,NA,NA,2.883,9.710,2.883,17,59,59,NA,4035,37, 52,101.801,NA,78,47,57,53,50,23,50,17,53,17,32,23,32,11,38,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.472142,5.463,5.032,0.469,1.552,1.620,0.284,1605,36,59,NA,NA,NA,NA,NA,3.053,10.282,3.053,17,59,59,NA,4035,37, 52,101.801,NA,78,47,57,53,50,23,50,17,53,17,32,23,32,11,38,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.478421,6.278,6.072,0.421,1.310,1.414,0.209,1605,36,59,NA,NA,NA,NA,NA,2.657,8.948,2.657,17,59,59,NA,4035,37, 52,101.801,NA,78,47,57,53,50,23,50,17,53,17,32,23,32,11,38,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.484309,5.888,6.373,0.405,1.152,1.899,0.196,1605,36,59,NA,NA,NA,NA,NA,2.833,9.541,2.833,17,59,59,NA,4035,37, 52,101.801,NA,78,47,57,53,50,23,50,17,53,17,32,23,32,11,38,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.490427,6.118,6.224,0.489,1.912,2.005,0.312,1605,36,59,NA,NA,NA,NA,NA,2.726,9.182,2.726,17,59,59,NA,4035,37, 52,101.801,NA,78,47,57,53,50,23,50,17,53,17,32,23,32,11,38,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.496372,5.945,5.379,0.493,1.341,1.439,0.226,1605,36,59,NA,NA,NA,NA,NA,2.806,9.450,2.806,17,59,59,NA,4035,37, 52,101.801,NA,78,47,57,53,50,23,50,17,53,17,32,23,32,11,38,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.501638,5.267,5.253,0.518,1.328,1.425,0.252,1605,36,59,NA,NA,NA,NA,NA,3.167,10.667,3.167,17,59,59,NA,4035,37, 52,101.801,NA,78,47,57,53,50,23,50,17,53,17,32,23,32,11,38,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ds.exe,NVIDIA GeForce RTX 2070 SUPER,AMD Ryzen 7 2700X Eight-Core Processor         ,2560x1440,D3D12,0,1296,0x000001B3AD787070,0,512,Hardware Composed: Independent Flip,0,2572.507570,5.932,6.910,0.406,2.337,2.404,0.394,1605,36,59,NA,NA,NA,NA,NA,2.812,9.471,2.812,17,59,59,NA,4035,37, 52,101.801,NA,78,47,57,53,50,23,50,17,53,17,32,23,32,11,38,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
